"wiltord","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"husband","{'polarity_value': 'positive', 'polarity_intense': '0.555', 'moodtags': ['#joy', '#interest'], 'sentics': {'pleasantness': '0.951', 'attention': '0.713', 'sensitivity': '0', 'aptitude': '0'}, 'semantics': ['wife', 'boy', 'mum', 'male_parent', 'male_relative']}"
"members","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"connors","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"5mins","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"comical","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"proceedures","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"jobs","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"individuals","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"novel","{'polarity_value': 'positive', 'polarity_intense': '0.148', 'moodtags': ['#interest', '#admiration'], 'sentics': {'pleasantness': '0.036', 'attention': '0.219', 'sensitivity': '0', 'aptitude': '0.19'}, 'semantics': ['long_story', 'text', 'fiction', 'book', 'classic']}"
"collection","{'polarity_value': 'positive', 'polarity_intense': '0.081', 'moodtags': ['#interest', '#admiration'], 'sentics': {'pleasantness': '0', 'attention': '0.188', 'sensitivity': '-0.08', 'aptitude': '0.137'}, 'semantics': ['clique', 'several_people', 'big_group', 'group', 'mob']}"
"favour","{'polarity_value': 'positive', 'polarity_intense': '0.527', 'moodtags': ['#joy', '#interest'], 'sentics': {'pleasantness': '0.742', 'attention': '0.838', 'sensitivity': '0', 'aptitude': '0'}, 'semantics': ['unfavored', 'benefice', 'fawn', 'flattery', 'lucky']}"
"minister","{'polarity_value': 'positive', 'polarity_intense': '0.148', 'moodtags': ['#interest', '#admiration'], 'sentics': {'pleasantness': '0.039', 'attention': '0.252', 'sensitivity': '-0.04', 'aptitude': '0.197'}, 'semantics': ['pope', 'evangelist', 'rector', 'church_head', 'saint']}"
"roar","{'polarity_value': 'negative', 'polarity_intense': '-0.29', 'moodtags': ['#fear', '#fear'], 'sentics': {'pleasantness': '0', 'attention': '0', 'sensitivity': '-0.87', 'aptitude': '0'}, 'semantics': ['noise', 'clamor', 'clang', 'sound', 'squeak']}"
"nourishment","{'polarity_value': 'positive', 'polarity_intense': '0.57', 'moodtags': ['#joy', '#interest'], 'sentics': {'pleasantness': '0.856', 'attention': '0.855', 'sensitivity': '0', 'aptitude': '0'}, 'semantics': ['sustenance', 'enjoy_eat', 'satisfy_hunger', 'fill_stomach', 'eat_out']}"
"compassion","{'polarity_value': 'positive', 'polarity_intense': '0.562', 'moodtags': ['#joy', '#admiration'], 'sentics': {'pleasantness': '0.981', 'attention': '0', 'sensitivity': '0', 'aptitude': '0.706'}, 'semantics': ['forgiveness', 'mercy', 'pity', 'concern', 'occupy']}"
"placed","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"venues","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"wishes","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"smacked","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"thrilled","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"bluegrass","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"plugins","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"florence","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"replays","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"nexus","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"pbr","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"fitness","{'polarity_value': 'positive', 'polarity_intense': '0.674', 'moodtags': ['#surprise', '#admiration'], 'sentics': {'pleasantness': '0.603', 'attention': '-0.77', 'sensitivity': '0', 'aptitude': '0.641'}, 'semantics': ['suitability', 'suitableness', 'habitability', 'habitableness', 'qualification']}"
"15","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"mini","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"wink","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"regret","{'polarity_value': 'negative', 'polarity_intense': '-0.48', 'moodtags': ['#sadness', '#fear'], 'sentics': {'pleasantness': '-0.91', 'attention': '0.096', 'sensitivity': '-0.72', 'aptitude': '0.098'}, 'semantics': ['guilt', 'grief', 'sorrow', 'woe', 'remorse']}"
"justinbieber","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"stuck","{'polarity_value': 'negative', 'polarity_intense': '-0.75', 'moodtags': ['#anger', '#disgust'], 'sentics': {'pleasantness': '-0.63', 'attention': '0', 'sensitivity': '0.829', 'aptitude': '-0.79'}, 'semantics': ['stuffiness', 'blocked', 'problem', 'traffic', 'congestion']}"
"refusal","{'polarity_value': 'negative', 'polarity_intense': '-0.61', 'moodtags': ['#sadness', '#anger'], 'sentics': {'pleasantness': '-0.98', 'attention': '0', 'sensitivity': '0.868', 'aptitude': '0'}, 'semantics': ['refusing', 'abandonment', 'denial', 'red', 'declination']}"
"piece","{'polarity_value': 'positive', 'polarity_intense': '0.516', 'moodtags': ['#interest', '#admiration'], 'sentics': {'pleasantness': '0', 'attention': '0.784', 'sensitivity': '0', 'aptitude': '0.763'}, 'semantics': ['component', 'fraction', 'portion', 'segment', 'part_of_whole']}"
"republicans","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"heath","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"realistic","{'polarity_value': 'positive', 'polarity_intense': '0.549', 'moodtags': ['#joy', '#admiration'], 'sentics': {'pleasantness': '0.736', 'attention': '0', 'sensitivity': '0', 'aptitude': '0.911'}, 'semantics': ['earthy', 'real', 'practical', 'true', 'truthful']}"
"join","{'polarity_value': 'positive', 'polarity_intense': '0.13', 'moodtags': ['#interest', '#admiration'], 'sentics': {'pleasantness': '0.12', 'attention': '0.131', 'sensitivity': '-0.11', 'aptitude': '0.257'}, 'semantics': ['come_together', 'connect', 'bring_together', 'gather', 'assemble']}"
"u","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"batmania","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"ledger","{'polarity_value': 'positive', 'polarity_intense': '0.598', 'moodtags': ['#joy', '#interest'], 'sentics': {'pleasantness': '0.916', 'attention': '0.877', 'sensitivity': '0', 'aptitude': '0'}, 'semantics': ['pocket_notebook', 'file', 'general_ledger', 'ring_binder', 'address_label']}"
"electricity","{'polarity_value': 'positive', 'polarity_intense': '0.572', 'moodtags': ['#joy', '#admiration'], 'sentics': {'pleasantness': '0.881', 'attention': '0', 'sensitivity': '0', 'aptitude': '0.836'}, 'semantics': ['potential_energy', 'watt', 'electrical', 'power_source', 'volt']}"
"complete","{'polarity_value': 'positive', 'polarity_intense': '0.597', 'moodtags': ['#surprise', '#admiration'], 'sentics': {'pleasantness': '0', 'attention': '-0.82', 'sensitivity': '0', 'aptitude': '0.966'}, 'semantics': ['whole', 'entire', 'all', 'total', 'altogether']}"
"punched","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"schultz","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"choir","{'polarity_value': 'positive', 'polarity_intense': '0.387', 'moodtags': ['#joy', '#interest'], 'sentics': {'pleasantness': '0.506', 'attention': '0.659', 'sensitivity': '-0.24', 'aptitude': '0.242'}, 'semantics': ['sing', 'music_studio', 'music_room', 'symphony_orchestra', 'symphony']}"
"insights","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"140","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"wen","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"saved","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"finalised","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"organising","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"8295475","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"column","{'polarity_value': 'positive', 'polarity_intense': '0.06', 'moodtags': ['#joy', '#admiration'], 'sentics': {'pleasantness': '0.076', 'attention': '0', 'sensitivity': '0', 'aptitude': '0.104'}, 'semantics': ['post', 'newspaper_article', 'rail', 'paper_sign', 'peg']}"
"include","{'polarity_value': 'positive', 'polarity_intense': '0.15', 'moodtags': ['#interest', '#admiration'], 'sentics': {'pleasantness': '0.04', 'attention': '0.22', 'sensitivity': '-0.17', 'aptitude': '0.362'}, 'semantics': ['come', 'inside', 'allow', 'tow', 'accept']}"
"venice","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"dav","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"bldgs","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"tatum","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"pressure","{'polarity_value': 'positive', 'polarity_intense': '0.875', 'moodtags': ['#interest', '#admiration'], 'sentics': {'pleasantness': '0.72', 'attention': '0.972', 'sensitivity': '0', 'aptitude': '0.932'}, 'semantics': ['air_pressure', 'altitude', 'air_density', 'heavy_air', 'air']}"
"mainframe","{'polarity_value': 'positive', 'polarity_intense': '0.606', 'moodtags': ['#surprise', '#admiration'], 'sentics': {'pleasantness': '0', 'attention': '-0.86', 'sensitivity': '0', 'aptitude': '0.956'}, 'semantics': ['helpful_tool', 'woodworking_tool', 'helpful', 'type_of_fruit', 'hand_tool']}"
"shameful","{'polarity_value': 'negative', 'polarity_intense': '-0.49', 'moodtags': ['#sadness', '#disgust'], 'sentics': {'pleasantness': '-0.73', 'attention': '0', 'sensitivity': '0', 'aptitude': '-0.75'}, 'semantics': ['disgraceful', 'dishonorably', 'inglorious', 'dishonored', 'shame']}"
"obamanomics","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"fired","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"ticket","{'polarity_value': 'positive', 'polarity_intense': '0.298', 'moodtags': ['#joy', '#joy'], 'sentics': {'pleasantness': '0.895', 'attention': '0', 'sensitivity': '0', 'aptitude': '0'}, 'semantics': ['enjoy_concert', 'enjoy_club', 'free_ticket', 'free', 'enjoy_football_match']}"
"wita","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"drifted","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"walked","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"tat","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"cheers","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"floor","{'polarity_value': 'positive', 'polarity_intense': '0.613', 'moodtags': ['#interest', '#admiration'], 'sentics': {'pleasantness': '0', 'attention': '0.931', 'sensitivity': '0', 'aptitude': '0.909'}, 'semantics': ['rug', 'carpet', 'mat', 'thick_hair', 'floor_cover']}"
"reread","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"28","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"plc","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"content","{'polarity_value': 'positive', 'polarity_intense': '0.322', 'moodtags': ['#joy', '#joy'], 'sentics': {'pleasantness': '0.966', 'attention': '0', 'sensitivity': '0', 'aptitude': '0'}, 'semantics': ['satisfy', 'gratify', 'jubilation', 'contentment', 'fulfill']}"
"bey","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"horrible","{'polarity_value': 'negative', 'polarity_intense': '-0.93', 'moodtags': ['#sadness', '#disgust'], 'sentics': {'pleasantness': '-0.93', 'attention': '0', 'sensitivity': '-0.93', 'aptitude': '-0.94'}, 'semantics': ['dread', 'distressed', 'terrible', 'dismay', 'uneasiness']}"
"7","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"midfielder","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"physics","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"crunchyroll","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"directly","{'polarity_value': 'positive', 'polarity_intense': '0.551', 'moodtags': ['#joy', '#admiration'], 'sentics': {'pleasantness': '0.869', 'attention': '0', 'sensitivity': '0', 'aptitude': '0.785'}, 'semantics': ['straightaway', 'flat', 'forthwith', 'straight', 'direct']}"
"disappoints","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"burying","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"acoustic","{'polarity_value': 'positive', 'polarity_intense': '0.597', 'moodtags': ['#interest', '#admiration'], 'sentics': {'pleasantness': '0', 'attention': '0.974', 'sensitivity': '0', 'aptitude': '0.816'}, 'semantics': ['spontaneously', 'inherently', 'naturally', 'drainer', 'mineral']}"
"lit","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"amiibo","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"gediminas","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"migo","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"cowboys","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"2013","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"mystery","{'polarity_value': 'negative', 'polarity_intense': '-0.51', 'moodtags': ['#sadness', '#fear'], 'sentics': {'pleasantness': '-0.72', 'attention': '0', 'sensitivity': '-0.83', 'aptitude': '0'}, 'semantics': ['riddle', 'obituary', 'editorial', 'news_story', 'article']}"
"technologies","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"still","{'polarity_value': 'negative', 'polarity_intense': '-0.89', 'moodtags': ['#anger', '#disgust'], 'sentics': {'pleasantness': '-0.82', 'attention': '0', 'sensitivity': '0.99', 'aptitude': '-0.87'}, 'semantics': ['motionless', 'rigid', 'inactive', 'nonmoving', 'static']}"
"mehehe","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"london","{'polarity_value': 'positive', 'polarity_intense': '0.027', 'moodtags': ['#admiration', '#admiration'], 'sentics': {'pleasantness': '0', 'attention': '0', 'sensitivity': '0', 'aptitude': '0.081'}, 'semantics': ['newyork', 'big_city', 'beijing', 'rome', 'tokyo']}"
"humor","{'polarity_value': 'positive', 'polarity_intense': '0.499', 'moodtags': ['#joy', '#admiration'], 'sentics': {'pleasantness': '0.706', 'attention': '0', 'sensitivity': '0', 'aptitude': '0.792'}, 'semantics': ['entertain_others', 'express_emotion', 'sing_song', 'listen', 'sound_good']}"
"uk","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
